Forge Standard ID,Grade,Grade Band,Subject,Domain / Strand,Forge Standard,Description,Learning Target — I Can,Essential Question,Priority,Tennessee Standard(s),Common Core,NGSS,NSQ Online Course,TN Alignment,National Alignment,Alignment Rationale,Prerequisite Anchor,Next / Acceleration Anchor,Suggested Evidence / Performance Task,Source Document / Page,Review Status,Final Approver,Crosswalk Links
FF.G4.MATH.11,4,Grades 4–5,Mathematics,Number & Operations—Base Ten,Divide multi-digit whole numbers,Find quotients and remainders with four-digit dividends and one-digit divisors using models and reasoning.,"I can divide a multi-digit number, explain my strategy, and interpret the remainder.","How are multiplication, division, and place value connected?",Essential,4.NBT.B.6,CCSS.MATH.CONTENT.4.NBT.B.6,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,3.OA.B.6,5.NBT.B.6,Division model and contextual application,TN Math 2021 PDF p.49,Draft—Head of School Review,Head of School,8
FF.G4.MATH.12,4,Grades 4–5,Mathematics,Fractions,Generate equivalent fractions,Use visual models and multiplicative reasoning to explain and generate equivalent fractions.,I can generate equivalent fractions and explain why their values are equal.,How can fractions look different but represent the same amount?,Essential,4.NF.A.1,CCSS.MATH.CONTENT.4.NF.A.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,3.NF.A.3,5.NF.A.1,Equivalent-fraction proof with visual model,TN Math 2021 PDF p.50,Draft—Head of School Review,Head of School,8
FF.G4.MATH.13,4,Grades 4–5,Mathematics,Fractions,Compare fractions,"Compare fractions using common numerators, denominators, or benchmarks and justify comparisons.",I can compare two fractions that refer to the same whole and justify my comparison.,Which representation makes a fraction comparison convincing?,Essential,4.NF.A.2,CCSS.MATH.CONTENT.4.NF.A.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,3.NF.A.3,5.NF.A.1–2,Fraction comparison argument,TN Math 2021 PDF p.50,Draft—Head of School Review,Head of School,8
FF.G4.MATH.14,4,Grades 4–5,Mathematics,Fractions,"Compose, decompose, and operate with like-denominator fractions","Represent fractions as sums, add and subtract like denominators, and solve contextual problems.","I can compose, decompose, add, and subtract fractions with like denominators and explain my reasoning.",How can unit fractions help us reason about larger fractions?,Essential,4.NF.B.3,CCSS.MATH.CONTENT.4.NF.B.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,3.NF.A.1,5.NF.A.1–2,Fraction decomposition gallery and application,TN Math 2021 PDF pp.50–51,Draft—Head of School Review,Head of School,8
FF.G4.MATH.15,4,Grades 4–5,Mathematics,Fractions,Multiply a fraction by a whole number,Use repeated addition and visual models to multiply a whole number by a fraction in context.,I can multiply a fraction by a whole number and represent the product with a model and equation.,How is fraction multiplication connected to repeated addition?,Essential,4.NF.B.4,CCSS.MATH.CONTENT.4.NF.B.4,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,3.OA.A.1,5.NF.B.4,Visual-model solution to a contextual problem,TN Math 2021 PDF pp.50–51,Draft—Head of School Review,Head of School,8
FF.G4.MATH.16,4,Grades 4–5,Mathematics,Fractions & Decimals,Relate tenths and hundredths,Express tenths as equivalent hundredths and add fractions with denominators 10 and 100.,I can rename tenths as hundredths and use equivalence to add them.,How does equivalence connect tenths and hundredths?,Essential,4.NF.C.5,CCSS.MATH.CONTENT.4.NF.C.5,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,4.NF.A.1,5.NBT.A.3,Decimal-grid explanation and computation,TN Math 2021 PDF p.51,Draft—Head of School Review,Head of School,8
FF.G4.MATH.17,4,Grades 4–5,Mathematics,Fractions & Decimals,Represent decimal fractions,"Read, write, and locate decimals representing tenths and hundredths.",I can represent tenths and hundredths as decimals and locate them on a number line.,How do decimals express fractional quantities?,Essential,4.NF.C.6,CCSS.MATH.CONTENT.4.NF.C.6,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,4.NF.C.5,5.NBT.A.3,Decimal number-line task,TN Math 2021 PDF p.51,Draft—Head of School Review,Head of School,8
FF.G4.MATH.18,4,Grades 4–5,Mathematics,Fractions & Decimals,Compare decimals to hundredths,Compare decimals that refer to the same whole and justify with place-value reasoning.,I can compare decimals to hundredths and justify my conclusion.,Why must decimal comparisons refer to the same whole?,Essential,4.NF.C.7,CCSS.MATH.CONTENT.4.NF.C.7,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,4.NF.C.6,5.NBT.A.3,Decimal comparison claim-evidence-reasoning,TN Math 2021 PDF p.51,Draft—Head of School Review,Head of School,8
FF.G4.MATH.19,4,Grades 4–5,Mathematics,Measurement & Data,Measure and estimate within systems,"Determine relative sizes of customary and metric units for length, volume, and mass/weight.","I can choose, measure, estimate, and compare units within one measurement system.",How does unit size affect a measurement?,Essential,4.MD.A.1,CCSS.MATH.CONTENT.4.MD.A.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,3.MD.A.2,5.MD.A.1,Measurement investigation with estimation error,TN Math 2021 PDF p.51,Draft—Head of School Review,Head of School,8
FF.G4.MATH.20,4,Grades 4–5,Mathematics,Measurement & Data,Solve measurement problems,"Use all four operations to solve one- and two-step measurement problems involving length, volume, mass, time, or money.",I can solve and explain a multistep measurement problem within one system.,How do operations help solve real measurement decisions?,Essential,4.MD.A.2,CCSS.MATH.CONTENT.4.MD.A.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,3.MD.A.1–2,5.MD.A.1,Real-world measurement design brief,TN Math 2021 PDF p.51,Draft—Head of School Review,Head of School,8
FF.G4.MATH.21,4,Grades 4–5,Mathematics,Measurement & Data,Apply area and perimeter formulas,Use rectangle area and perimeter formulas in mathematical and real-world contexts.,I can use area and perimeter formulas to find an unknown dimension and explain the relationship.,How can formulas help us design and solve spatial problems?,Essential,4.MD.A.3,CCSS.MATH.CONTENT.4.MD.A.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,3.MD.C.7–8,5.MD.C.3–5,Room or garden design with constraints,TN Math 2021 PDF p.51,Draft—Head of School Review,Head of School,8
FF.G4.MATH.22,4,Grades 4–5,Mathematics,Measurement & Data,Represent fractional data on line plots,Create line plots with fractional measurements and solve problems using the displayed data.,I can make a line plot with fractional measurements and use it to solve a problem.,How can a graph reveal patterns and differences in measurement data?,Essential,4.MD.B.4,CCSS.MATH.CONTENT.4.MD.B.4,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,3.MD.B.3–4,5.MD.B.2,Collect-measure-plot investigation,TN Math 2021 PDF p.51,Draft—Head of School Review,Head of School,8
FF.G4.MATH.23,4,Grades 4–5,Mathematics,Measurement & Data,Understand angle measurement,Explain angles as turns and as fractions of a circle measured in degrees.,I can explain what an angle measures and how degrees relate to a circle.,How does a turn become a measurable quantity?,Essential,4.MD.C.5,CCSS.MATH.CONTENT.4.MD.C.5,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,3.G.A.1,5.G.B.3–4,Angle model and concept explanation,TN Math 2021 PDF p.52,Draft—Head of School Review,Head of School,8
FF.G4.MATH.24,4,Grades 4–5,Mathematics,Measurement & Data,Measure and draw angles,Use a protractor to measure and sketch angles to whole-number degrees.,I can measure and draw angles accurately with a protractor.,How can tools make geometric reasoning precise?,Essential,4.MD.C.6,CCSS.MATH.CONTENT.4.MD.C.6,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,4.MD.C.5,5.G.B.3–4,Angle construction accuracy task,TN Math 2021 PDF p.52,Draft—Head of School Review,Head of School,8
FF.G4.MATH.25,4,Grades 4–5,Mathematics,Measurement & Data,Reason with additive angles,Decompose angles and use addition or subtraction to determine unknown measures.,I can find an unknown angle by decomposing a larger angle and writing an equation.,How can smaller angles help us reason about a whole angle?,Essential,4.MD.C.7,CCSS.MATH.CONTENT.4.MD.C.7,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,4.MD.C.6,5.G.B.3–4,Unknown-angle puzzle with proof,TN Math 2021 PDF p.52,Draft—Head of School Review,Head of School,8
FF.G4.MATH.26,4,Grades 4–5,Mathematics,Geometry,Draw and identify geometric elements,"Draw and identify points, lines, segments, rays, angle types, and parallel and perpendicular lines.","I can draw, label, and identify geometric elements in two-dimensional figures.",How does precise geometric language describe space?,Essential,4.G.A.1,CCSS.MATH.CONTENT.4.G.A.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,3.G.A.1,5.G.A.1–2,Annotated geometric design,TN Math 2021 PDF p.52,Draft—Head of School Review,Head of School,8
FF.G4.MATH.27,4,Grades 4–5,Mathematics,Geometry,Classify two-dimensional figures,Classify figures and triangles using line and angle properties.,"I can classify a two-dimensional figure using parallel lines, perpendicular lines, and angle measures.",How can one shape belong to more than one category?,Essential,4.G.A.2,CCSS.MATH.CONTENT.4.G.A.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,3.G.A.1,5.G.B.3–4,Hierarchy of shapes with justification,TN Math 2021 PDF p.52,Draft—Head of School Review,Head of School,8
FF.G4.MATH.28,4,Grades 4–5,Mathematics,Geometry,Analyze line symmetry,Recognize and draw lines of symmetry in two-dimensional figures.,I can determine whether a figure has line symmetry and draw every line of symmetry.,What makes two parts of a figure mirror images?,Essential,4.G.A.3,CCSS.MATH.CONTENT.4.G.A.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,3.G.A.1,5.G.B.3–4,Symmetry design and verification,TN Math 2021 PDF p.52,Draft—Head of School Review,Head of School,8
FF.G5.MATH.01,5,Grades 4–5,Mathematics,Operations & Algebraic Thinking,Evaluate numerical expressions,Use parentheses and brackets and the conventional order of operations to evaluate whole-number numerical expressions.,I can use parentheses and brackets and the conventional order of operations to evaluate whole-number numerical expressions.,How can evaluate numerical expressions be used accurately to solve and explain a meaningful problem?,Essential,5.OA.A.1,CCSS.MATH.CONTENT.5.OA.A.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,Grade 4 multistep equations,6.EE.A.1–2 expressions and exponents,Expression evaluation with annotated order-of-operations reasoning,TN Math 2021 PDF p.58,Draft—Head of School Review,Head of School,8
FF.G5.MATH.02,5,Grades 4–5,Mathematics,Operations & Algebraic Thinking,Write and interpret numerical expressions,Write numerical expressions that record calculations and interpret expressions without evaluating them.,I can write numerical expressions that record calculations and interpret expressions without evaluating them.,How can write and interpret numerical expressions be used accurately to solve and explain a meaningful problem?,Essential,5.OA.A.2,CCSS.MATH.CONTENT.5.OA.A.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,Grade 4 multistep problem representation,6.EE.A.2 variable expressions,Translate authentic situations into expressions and explain their structure,TN Math 2021 PDF p.58,Draft—Head of School Review,Head of School,8
FF.G5.MATH.03,5,Grades 4–5,Mathematics,Operations & Algebraic Thinking,Generate and compare numerical patterns,"Generate two patterns from given rules, identify relationships between corresponding terms, form ordered pairs, and graph them in the first quadrant.","I can generate two patterns from given rules, identify relationships between corresponding terms, form ordered pairs, and graph them in the first quadrant.",How can generate and compare numerical patterns be used accurately to solve and explain a meaningful problem?,Essential,5.OA.B.3,CCSS.MATH.CONTENT.5.OA.B.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,Grade 4 number and shape patterns,6.RP.A.3 ratio tables and coordinate graphs,"Dual-pattern table, graph, and relationship explanation",TN Math 2021 PDF p.58,Draft—Head of School Review,Head of School,8
FF.G5.MATH.04,5,Grades 4–5,Mathematics,Number & Operations—Base Ten,Explain place-value relationships,Explain that a digit represents ten times the value of the same digit one place to its right and one-tenth the value one place to its left.,I can explain that a digit represents ten times the value of the same digit one place to its right and one-tenth the value one place to its left.,How can explain place-value relationships be used accurately to solve and explain a meaningful problem?,Essential,5.NBT.A.1,CCSS.MATH.CONTENT.5.NBT.A.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,4.NBT.A.1 place-value comparison,6.NS rational-number structure,Place-value model and written explanation,TN Math 2021 PDF p.58,Draft—Head of School Review,Head of School,8
FF.G5.MATH.05,5,Grades 4–5,Mathematics,Number & Operations—Base Ten,Use powers of ten and decimal patterns,Explain zero and decimal-point patterns when multiplying or dividing by powers of ten and use whole-number exponents to represent powers of ten.,I can explain zero and decimal-point patterns when multiplying or dividing by powers of ten and use whole-number exponents to represent powers of ten.,How can use powers of ten and decimal patterns be used accurately to solve and explain a meaningful problem?,Essential,5.NBT.A.2,CCSS.MATH.CONTENT.5.NBT.A.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,Grade 4 multiplication patterns,6.EE.A.1 whole-number exponents,Power-of-ten pattern investigation with generalization,TN Math 2021 PDF p.58,Draft—Head of School Review,Head of School,8
FF.G5.MATH.06,5,Grades 4–5,Mathematics,Number & Operations—Base Ten,"Read, write, and compare decimals","Read and write decimals to thousandths in standard, word, and expanded forms and compare them using place-value reasoning.","I can read and write decimals to thousandths in standard, word, and expanded forms and compare them using place-value reasoning.","How can read, write, and compare decimals be used accurately to solve and explain a meaningful problem?",Essential,5.NBT.A.3,CCSS.MATH.CONTENT.5.NBT.A.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,4.NF.C.6–7 decimal notation and comparison,6.NS.C.7 rational-number order,Decimal representation and comparison task with justification,TN Math 2021 PDF p.58,Draft—Head of School Review,Head of School,8
FF.G5.MATH.07,5,Grades 4–5,Mathematics,Number & Operations—Base Ten,Round decimals using place value,"Round decimals to the nearest hundredth, tenth, or whole number and explain the result with a number line.","I can round decimals to the nearest hundredth, tenth, or whole number and explain the result with a number line.",How can round decimals using place value be used accurately to solve and explain a meaningful problem?,Essential,5.NBT.A.4,CCSS.MATH.CONTENT.5.NBT.A.4,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,4.NBT.A.3 whole-number rounding,6.NS.C.7 rational-number order and absolute value,Rounding explanation using number-line evidence,TN Math 2021 PDF p.58,Draft—Head of School Review,Head of School,8
FF.G5.MATH.08,5,Grades 4–5,Mathematics,Number & Operations—Base Ten,Multiply multi-digit whole numbers fluently,Fluently multiply whole numbers with factors up to three digits by four digits using efficient strategies and algorithms.,I can fluently multiply whole numbers with factors up to three digits by four digits using efficient strategies and algorithms.,How can multiply multi-digit whole numbers fluently be used accurately to solve and explain a meaningful problem?,Essential,5.NBT.B.5,CCSS.MATH.CONTENT.5.NBT.B.5,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,4.NBT.B.5 multi-digit multiplication,6.NS.B.2–3 standard algorithms,Multi-method computation set with efficiency reflection,TN Math 2021 PDF p.59,Draft—Head of School Review,Head of School,8
FF.G5.MATH.09,5,Grades 4–5,Mathematics,Number & Operations—Base Ten,Divide multi-digit whole numbers,Find quotients and remainders with up to four-digit dividends and two-digit divisors and explain the calculation using models and equations.,I can find quotients and remainders with up to four-digit dividends and two-digit divisors and explain the calculation using models and equations.,How can divide multi-digit whole numbers be used accurately to solve and explain a meaningful problem?,Essential,5.NBT.B.6,CCSS.MATH.CONTENT.5.NBT.B.6,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,4.NBT.B.6 division strategies,6.NS.B.2 fluent standard algorithm,"Division model, computation, and contextual remainder explanation",TN Math 2021 PDF p.59,Draft—Head of School Review,Head of School,8
FF.G5.MATH.10,5,Grades 4–5,Mathematics,Number & Operations—Base Ten,Operate with decimals to hundredths,"Add, subtract, multiply, and divide decimals to hundredths using models, place-value reasoning, and estimation to assess reasonableness.","I can add, subtract, multiply, and divide decimals to hundredths using models, place-value reasoning, and estimation to assess reasonableness.",How can operate with decimals to hundredths be used accurately to solve and explain a meaningful problem?,Essential,5.NBT.B.7,CCSS.MATH.CONTENT.5.NBT.B.7,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,Grade 4 decimal notation and whole-number operations,6.NS.B.3 fluent decimal operations,Authentic decimal problem set with models and estimation checks,TN Math 2021 PDF p.59,Draft—Head of School Review,Head of School,8
FF.G5.MATH.11,5,Grades 4–5,Mathematics,Fractions,Add and subtract fractions with unlike denominators,Use equivalent fractions to add and subtract fractions and mixed numbers with unlike denominators.,I can use equivalent fractions to add and subtract fractions and mixed numbers with unlike denominators.,How can add and subtract fractions with unlike denominators be used accurately to solve and explain a meaningful problem?,Essential,5.NF.A.1,CCSS.MATH.CONTENT.5.NF.A.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,4.NF.A.1–2 equivalence and comparison,6.NS.A.1 division of fractions,Fraction model and computation with equivalence justification,TN Math 2021 PDF p.59,Draft—Head of School Review,Head of School,8
FF.G5.MATH.12,5,Grades 4–5,Mathematics,Fractions,Solve fraction addition and subtraction problems,Solve contextual problems involving fraction addition and subtraction and use benchmarks and estimation to assess reasonableness.,I can solve contextual problems involving fraction addition and subtraction and use benchmarks and estimation to assess reasonableness.,How can solve fraction addition and subtraction problems be used accurately to solve and explain a meaningful problem?,Essential,5.NF.A.2,CCSS.MATH.CONTENT.5.NF.A.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,4.NF.B.3 fraction addition and subtraction,6.RP and 6.NS rational-number applications,Context problem set with benchmark estimates and written reasoning,TN Math 2021 PDF p.59,Draft—Head of School Review,Head of School,8
FF.G5.MATH.13,5,Grades 4–5,Mathematics,Fractions,Interpret fractions as division,Interpret a fraction as division and solve sharing problems that produce fractional or mixed-number results.,I can interpret a fraction as division and solve sharing problems that produce fractional or mixed-number results.,How can interpret fractions as division be used accurately to solve and explain a meaningful problem?,Essential,5.NF.B.3,CCSS.MATH.CONTENT.5.NF.B.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,Grade 4 fraction meaning and equivalence,6.NS.A.1 fraction division,"Sharing model, equation, and contextual interpretation",TN Math 2021 PDF p.59,Draft—Head of School Review,Head of School,8
FF.G5.MATH.14,5,Grades 4–5,Mathematics,Fractions,Multiply fractions and model fractional area,Multiply a fraction by a whole number or another fraction and connect the product to visual models and rectangular area.,I can multiply a fraction by a whole number or another fraction and connect the product to visual models and rectangular area.,How can multiply fractions and model fractional area be used accurately to solve and explain a meaningful problem?,Essential,5.NF.B.4,CCSS.MATH.CONTENT.5.NF.B.4,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,4.NF.B.4 fraction times whole number,6.NS.A.1 fraction division and rational applications,Fraction-product model and fractional-area design,TN Math 2021 PDF p.60,Draft—Head of School Review,Head of School,8
FF.G5.MATH.15,5,Grades 4–5,Mathematics,Fractions,Interpret multiplication as scaling,"Compare product size to factor size and explain how multiplying by fractions greater than, equal to, or less than one scales a quantity.","I can compare product size to factor size and explain how multiplying by fractions greater than, equal to, or less than one scales a quantity.",How can interpret multiplication as scaling be used accurately to solve and explain a meaningful problem?,Essential,5.NF.B.5,CCSS.MATH.CONTENT.5.NF.B.5,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,Grade 4 multiplicative comparison,6.RP.A.1–3 ratio and rate reasoning,Scaling investigation with predictions and explanations,TN Math 2021 PDF p.60,Draft—Head of School Review,Head of School,8
