Forge Standard ID,Grade,Grade Band,Subject,Domain / Strand,Forge Standard,Description,Learning Target — I Can,Essential Question,Priority,Tennessee Standard(s),Common Core,NGSS,NSQ Online Course,TN Alignment,National Alignment,Alignment Rationale,Prerequisite Anchor,Next / Acceleration Anchor,Suggested Evidence / Performance Task,Source Document / Page,Review Status,Final Approver,Crosswalk Links
FF.G4.SCI.11,4,Grades 4–5,Science,Life Science—Fossils,Use fossils as evidence of the past,Explain what fossils are and how they provide evidence about past environments and organisms.,I can use fossil evidence to describe an organism or environment from long ago.,How can remains from the past help reconstruct an environment?,Essential,4.LS4.1,Not Applicable,3-LS4-1,B1; B2; C2; D1; D2; D4,Direct,Direct,"The Tennessee expectation is mapped to the closest NGSS 3–5 performance expectation; where grade labels differ, the shared DCI/practice is documented.",Grade 3 life cycles and variation,5.ESS / advanced Grade 5 science pathway,Fossil evidence museum label,TN Science 2022 PDF p.42,Draft—Head of School Review,Head of School,8
FF.G4.SCI.12,4,Grades 4–5,Science,Earth Science—Landscapes,Explain landscape change over time,Use evidence to explain how erosion and deposition alter landscapes and create landforms.,I can support a claim about how erosion and deposition change a landscape over time.,How can slow processes produce major changes?,Essential,4.ESS1.1,Not Applicable,4-ESS1-1,B1; B2; C2; D1; D2; D4,Direct,Direct,"The Tennessee expectation is mapped to the closest NGSS 3–5 performance expectation; where grade labels differ, the shared DCI/practice is documented.",Grade 3 weather and land observations,5.ESS2 and advanced Grade 5 science pathway,Landscape sequence claim-evidence-reasoning,TN Science 2022 PDF p.42,Draft—Head of School Review,Head of School,8
FF.G4.SCI.13,4,Grades 4–5,Science,Earth Science—Geologic History,Order rock strata with fossil evidence,Use fossil location and rock layers to infer the relative order of strata.,I can use fossils and rock layers to determine which strata formed earlier or later.,How do layers preserve a timeline of Earth’s past?,Essential,4.ESS1.2,Not Applicable,4-ESS1-1,B1; B2; C2; D1; D2; D4,Direct,Direct,"The Tennessee expectation is mapped to the closest NGSS 3–5 performance expectation; where grade labels differ, the shared DCI/practice is documented.",Grade 3 fossil evidence,MS-ESS1-4 extension after Grade 5 readiness,Rock-column reconstruction,TN Science 2022 PDF p.42,Draft—Head of School Review,Head of School,8
FF.G4.SCI.14,4,Grades 4–5,Science,Earth Science—Weathering & Erosion,Investigate weathering and transport,Collect and analyze evidence that materials break down and move through natural processes.,I can use observations and data to explain how rock and soil break apart and move.,What causes Earth materials to change location and form?,Essential,4.ESS2.1,Not Applicable,4-ESS2-1,B1; B2; C2; D1; D2; D4,Direct,Direct,"The Tennessee expectation is mapped to the closest NGSS 3–5 performance expectation; where grade labels differ, the shared DCI/practice is documented.",Grade 3 water and land patterns,5.ESS2 and advanced Grade 5 science pathway,Weathering/erosion investigation,TN Science 2022 PDF p.42,Draft—Head of School Review,Head of School,8
FF.G4.SCI.15,4,Grades 4–5,Science,Earth Science—Earth Features,Analyze patterns in Earth features,"Use maps and reliable sources to identify patterns in mountains, trenches, volcanoes, and earthquakes.",I can analyze maps to identify and explain patterns in major Earth features and events.,What can spatial patterns reveal about Earth?,Essential,4.ESS2.2,Not Applicable,4-ESS2-2,B1; B2; C2; D1; D2; D4,Direct,Direct,"The Tennessee expectation is mapped to the closest NGSS 3–5 performance expectation; where grade labels differ, the shared DCI/practice is documented.",Grade 3 map and pattern skills,MS-ESS2-2 extension after Grade 5 readiness,Layered map pattern analysis,TN Science 2022 PDF p.42,Draft—Head of School Review,Head of School,8
FF.G4.SCI.16,4,Grades 4–5,Science,Earth Science—Organisms & Land,Explain how organisms alter regions,Use examples to support a claim that organisms change physical characteristics of their environment.,I can support a claim about how an organism changes its physical environment.,How do living things act as agents of environmental change?,Essential,4.ESS2.3,Not Applicable,5-ESS2-1,B1; B2; C2; D1; D2; D4,Direct,Direct,"The Tennessee expectation is mapped to the closest NGSS 3–5 performance expectation; where grade labels differ, the shared DCI/practice is documented.",Grade 3 organism-environment relationships,5.ESS2.1 and advanced Grade 5 pathway,Local example case study,TN Science 2022 PDF p.42,Draft—Head of School Review,Head of School,8
FF.G4.SCI.17,4,Grades 4–5,Science,Earth Science—Resources,Classify natural resources,"Describe how energy, fuels, and materials come from renewable and nonrenewable resources.",I can classify resources as renewable or nonrenewable and explain how people use them.,How do resource choices connect natural systems and human needs?,Essential,4.ESS3.1,Not Applicable,4-ESS3-1,B1; B2; C2; D1; D2; D4,Direct,Direct,"The Tennessee expectation is mapped to the closest NGSS 3–5 performance expectation; where grade labels differ, the shared DCI/practice is documented.",Grade 3 human use of resources,5.ESS3 and advanced Grade 5 pathway,Resource-use infographic with evidence,TN Science 2022 PDF p.42,Draft—Head of School Review,Head of School,8
FF.G4.SCI.18,4,Grades 4–5,Science,Earth Science—Human Impact,Evaluate effects of human activity,Use research evidence to argue how human actions can affect land and ocean positively or negatively.,I can use research evidence to argue how a human activity affects land or ocean systems.,How can people reduce harm while meeting human needs?,Essential,4.ESS3.2,Not Applicable,4-ESS3-2,B1; B2; C2; D1; D2; D4,Direct,Direct,"The Tennessee expectation is mapped to the closest NGSS 3–5 performance expectation; where grade labels differ, the shared DCI/practice is documented.",Grade 3 environmental solutions,5.ESS3 and advanced Grade 5 pathway,Evidence-based environmental position brief,TN Science 2022 PDF p.42,Draft—Head of School Review,Head of School,8
FF.G4.SCI.19,4,Grades 4–5,Science,Engineering Design,Test and compare design solutions,Evaluate solutions by testing and comparing performance against criteria and constraints.,I can test design solutions and use results to judge which best meets criteria and constraints.,How does evidence improve an engineering decision?,Essential,4.ETS1.1,Not Applicable,3-5-ETS1-3,B1; B2; C2; D1; D2; D4,Direct,Direct,"The Tennessee expectation is mapped to the closest NGSS 3–5 performance expectation; where grade labels differ, the shared DCI/practice is documented.",Grade 3 define/design/test cycle,5.ETS and advanced Grade 5 pathway,Comparative design challenge,TN Science 2022 PDF p.42,Draft—Head of School Review,Head of School,8
FF.G4.SCI.20,4,Grades 4–5,Science,Technology & Society,Evaluate technology improvement,"Explain how technologies are designed or improved to increase benefits, reduce risks, and meet needs.","I can explain how a technology was improved to increase benefits, reduce risks, or meet a need.",How should society judge whether a technology is an improvement?,Essential,4.ETS2.1,Not Applicable,3-5-ETS1-1,B1; B2; C2; D1; D2; D4,Direct,Direct,"The Tennessee expectation is mapped to the closest NGSS 3–5 performance expectation; where grade labels differ, the shared DCI/practice is documented.",Grade 3 technology-purpose connections,5.ETS and advanced Grade 5 pathway,Technology redesign case study,TN Science 2022 PDF p.43,Draft—Head of School Review,Head of School,8
FF.G5.SCI.01,5,Grades 4–5,Science,Physical Science—Matter,Explain phase changes with property data,"Analyze observations and measurements of physical properties to explain changes among solids, liquids, and gases.","I can analyze observations and measurements of physical properties to explain changes among solids, liquids, and gases.",What evidence or model can explain explain phase changes with property data?,Essential,5.PS1.1,Not Applicable,5-PS1-1; 5-PS1-3,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee expectation is mapped to the closest NGSS performance expectation; grade-band or emphasis differences are disclosed in the source locator.,Grade 4 energy and material observations,6.PS3 energy transfer in systems,Phase-change investigation with data table and claim-evidence-reasoning,TN Science 2022 PDF p.46; NGSS 5-PS1,Draft—Head of School Review,Head of School,9
FF.G5.SCI.02,5,Grades 4–5,Science,Physical Science—Matter,Demonstrate conservation of matter,"Use data to show that the amount of matter is conserved when matter changes form, including changes where matter appears to vanish.","I can use data to show that the amount of matter is conserved when matter changes form, including changes where matter appears to vanish.",What evidence or model can explain demonstrate conservation of matter?,Essential,5.PS1.2,Not Applicable,5-PS1-2,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee expectation is mapped to the closest NGSS performance expectation; grade-band or emphasis differences are disclosed in the source locator.,Grade 4 measurement and energy transformations,7.PS1 chemical processes and conservation,Closed-system investigation with mass evidence,TN Science 2022 PDF p.46; NGSS 5-PS1,Draft—Head of School Review,Head of School,8
FF.G5.SCI.03,5,Grades 4–5,Science,Physical Science—Matter,Determine whether mixing forms a new substance,Use physical properties as evidence to argue whether combining substances produces a new substance.,I can use physical properties as evidence to argue whether combining substances produces a new substance.,What evidence or model can explain determine whether mixing forms a new substance?,Essential,5.PS1.3,Not Applicable,5-PS1-4,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee expectation is mapped to the closest NGSS performance expectation; grade-band or emphasis differences are disclosed in the source locator.,5.PS1.1 physical properties and phase changes,7.PS1 chemical reactions,Mixture investigation and evidence-based argument,TN Science 2022 PDF p.46; NGSS 5-PS1,Draft—Head of School Review,Head of School,8
FF.G5.SCI.04,5,Grades 4–5,Science,Physical Science—Forces,Investigate balanced and unbalanced forces,Plan and carry out an investigation showing how balanced and unbalanced forces affect an object’s motion.,I can plan and carry out an investigation showing how balanced and unbalanced forces affect an object’s motion.,What evidence or model can explain investigate balanced and unbalanced forces?,Essential,5.PS2.1,Not Applicable,3-PS2-1,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee expectation is mapped to the closest NGSS performance expectation; grade-band or emphasis differences are disclosed in the source locator.,"Grade 4 energy, motion, and collisions","8.PS2 force, mass, and motion",Controlled force-and-motion investigation,TN Science 2022 PDF p.46; NGSS 3-PS2,Draft—Head of School Review,Head of School,8
FF.G5.SCI.05,5,Grades 4–5,Science,Physical Science—Forces,Use motion patterns to predict,Observe and measure an object’s motion and use a pattern in the data to predict future motion.,I can observe and measure an object’s motion and use a pattern in the data to predict future motion.,What evidence or model can explain use motion patterns to predict?,Essential,5.PS2.2,Not Applicable,3-PS2-2,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee expectation is mapped to the closest NGSS performance expectation; grade-band or emphasis differences are disclosed in the source locator.,Grade 4 motion data and wave patterns,8.PS2 motion modeling,Motion data graph with tested prediction,TN Science 2022 PDF p.46; NGSS 3-PS2,Draft—Head of School Review,Head of School,8
FF.G5.SCI.06,5,Grades 4–5,Science,Physical Science—Forces,Explain Earth-directed gravity,Use evidence to support that Earth’s gravitational force on objects is directed toward Earth’s center.,I can use evidence to support that Earth’s gravitational force on objects is directed toward Earth’s center.,What evidence or model can explain explain earth-directed gravity?,Essential,5.PS2.3,Not Applicable,5-PS2-1,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee expectation is mapped to the closest NGSS performance expectation; grade-band or emphasis differences are disclosed in the source locator.,Grade 4 force and motion evidence,8.PS2 gravitational interactions,Gravity model and evidence-based explanation,TN Science 2022 PDF p.46; NGSS 5-PS2,Draft—Head of School Review,Head of School,8
FF.G5.SCI.07,5,Grades 4–5,Science,Physical Science—Forces,Explain force-driven patterns in systems,"Explain how forces create one-direction, back-and-forth, or cyclic patterns and describe conditions that change their speed.","I can explain how forces create one-direction, back-and-forth, or cyclic patterns and describe conditions that change their speed.",What evidence or model can explain explain force-driven patterns in systems?,Essential,5.PS2.4,Not Applicable,3-PS2-1; 3-PS2-2,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee expectation is mapped to the closest NGSS performance expectation; grade-band or emphasis differences are disclosed in the source locator.,5.PS2.1–2 forces and motion patterns,6.PS3 energy transfers and 8.PS2 interactions,System model comparing force-driven motion patterns,TN Science 2022 PDF p.46; NGSS 3-PS2,Draft—Head of School Review,Head of School,9
FF.G5.SCI.08,5,Grades 4–5,Science,Life Science—Information Processing,Compare instinctive and learned responses,Compare animal responses that are instinctive with those learned through sensory information processed and stored by the brain.,I can compare animal responses that are instinctive with those learned through sensory information processed and stored by the brain.,What evidence or model can explain compare instinctive and learned responses?,Essential,5.LS1.1,Not Applicable,4-LS1-2,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee expectation is mapped to the closest NGSS performance expectation; grade-band or emphasis differences are disclosed in the source locator.,"Grade 4 structures, senses, and information transfer",7.LS1 body systems and information processing,Animal behavior case study with response classification,TN Science 2022 PDF p.46; NGSS 4-LS1,Draft—Head of School Review,Head of School,8
FF.G5.SCI.09,5,Grades 4–5,Science,Life Science—Heredity,Distinguish inherited and environmental characteristics,Distinguish inherited characteristics from those caused by direct environmental interaction and identify traits influenced by both.,I can distinguish inherited characteristics from those caused by direct environmental interaction and identify traits influenced by both.,What evidence or model can explain distinguish inherited and environmental characteristics?,Essential,5.LS3.1,Not Applicable,3-LS3-2,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee expectation is mapped to the closest NGSS performance expectation; grade-band or emphasis differences are disclosed in the source locator.,Grade 4 organism structures and adaptation,7.LS3 inheritance and variation,Trait evidence chart using multiple organisms,TN Science 2022 PDF p.47; NGSS 3-LS3,Draft—Head of School Review,Head of School,8
FF.G5.SCI.10,5,Grades 4–5,Science,Life Science—Heredity,Analyze inheritance and variation data,Use evidence and data to show that organisms inherit traits from parents and that variation exists within groups of similar organisms.,I can use evidence and data to show that organisms inherit traits from parents and that variation exists within groups of similar organisms.,What evidence or model can explain analyze inheritance and variation data?,Essential,5.LS3.2,Not Applicable,3-LS3-1,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee expectation is mapped to the closest NGSS performance expectation; grade-band or emphasis differences are disclosed in the source locator.,5.LS3.1 inherited and environmental influences,7.LS3 models of inheritance and variation,Trait-data analysis with claim-evidence-reasoning,TN Science 2022 PDF p.47; NGSS 3-LS3,Draft—Head of School Review,Head of School,8
FF.G5.SCI.11,5,Grades 4–5,Science,Life Science—Adaptation,Explain survival advantages of variation,Use evidence to explain how variation among individuals of one species may provide advantages for survival and reproduction.,I can use evidence to explain how variation among individuals of one species may provide advantages for survival and reproduction.,What evidence or model can explain explain survival advantages of variation?,Essential,5.LS4.1,Not Applicable,3-LS4-2,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee expectation is mapped to the closest NGSS performance expectation; grade-band or emphasis differences are disclosed in the source locator.,Grade 4 adaptations and environmental change,8.LS4 natural selection,Species-variation explanation supported by data,TN Science 2022 PDF p.47; NGSS 3-LS4,Draft—Head of School Review,Head of School,8
FF.G5.SCI.12,5,Grades 4–5,Science,Earth Science—Stars,Explain apparent stellar brightness,Explain that the sun appears brighter than other stars because of their relative distances from Earth.,I can explain that the sun appears brighter than other stars because of their relative distances from Earth.,What evidence or model can explain explain apparent stellar brightness?,Essential,5.ESS1.1,Not Applicable,5-ESS1-1,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee expectation is mapped to the closest NGSS performance expectation; grade-band or emphasis differences are disclosed in the source locator.,Grade 4 light and observation,8.ESS1 scale and gravity in the universe,Distance-and-brightness model with explanation,TN Science 2022 PDF p.47; NGSS 5-ESS1,Draft—Head of School Review,Head of School,8
FF.G5.SCI.13,5,Grades 4–5,Science,Earth Science—Galaxies,Locate Earth in the Milky Way,Research Earth’s position in the solar system and Milky Way and compare the Milky Way’s size and shape with other galaxies.,I can research Earth’s position in the solar system and Milky Way and compare the Milky Way’s size and shape with other galaxies.,What evidence or model can explain locate earth in the milky way?,Essential,5.ESS1.2,Not Applicable,5-ESS1-1,B1; B2; C2; D1; D2; D4,Direct,Supporting,The Tennessee expectation is mapped to the closest NGSS performance expectation; grade-band or emphasis differences are disclosed in the source locator.,5.ESS1.1 stars and distance,8.ESS1 scale and organization of the universe,Scale model and research brief on cosmic location,TN Science 2022 PDF p.47; NGSS 5-ESS1,Draft—Head of School Review,Head of School,8
FF.G5.SCI.14,5,Grades 4–5,Science,Earth Science—Earth-Sun Patterns,"Model day, night, and shadow patterns",Use a model to explain how Earth’s orbit and the sun relate to day-night patterns and changes in shadow length and direction.,I can use a model to explain how Earth’s orbit and the sun relate to day-night patterns and changes in shadow length and direction.,"What evidence or model can explain model day, night, and shadow patterns?",Essential,5.ESS1.3,Not Applicable,5-ESS1-2,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee expectation is mapped to the closest NGSS performance expectation; grade-band or emphasis differences are disclosed in the source locator.,Grade 4 observation of light and patterns,8.ESS1 Earth-sun-moon system models,Sun-shadow data collection and explanatory model,TN Science 2022 PDF p.47; NGSS 5-ESS1,Draft—Head of School Review,Head of School,8
FF.G5.SCI.15,5,Grades 4–5,Science,Earth Science—Earth-Moon-Sun System,"Explain eclipses, tides, and moon phases","Explain cause-and-effect relationships among sun, Earth, and moon positions and eclipses, tides, and the moon’s appearance.","I can explain cause-and-effect relationships among sun, Earth, and moon positions and eclipses, tides, and the moon’s appearance.","What evidence or model can explain explain eclipses, tides, and moon phases?",Essential,5.ESS1.4,Not Applicable,MS-ESS1-1,B1; B2; C2; D1; D2; D4,Direct,Supporting,The Tennessee expectation is mapped to the closest NGSS performance expectation; grade-band or emphasis differences are disclosed in the source locator.,5.ESS1.3 observable Earth-sun patterns,8.ESS1 Earth-sun-moon system models,Earth-moon-sun model and phenomenon explanation,TN Science 2022 PDF p.47; NGSS MS-ESS1,Draft—Head of School Review,Head of School,8
FF.G5.SCI.16,5,Grades 4–5,Science,Earth Science—Seasons,Explain seasons and changing daylight,"Relate Earth’s axial tilt and revolution to changing sunlight intensity, day length, and seasons at different latitudes.","I can relate Earth’s axial tilt and revolution to changing sunlight intensity, day length, and seasons at different latitudes.",What evidence or model can explain explain seasons and changing daylight?,Essential,5.ESS1.5,Not Applicable,MS-ESS1-1,B1; B2; C2; D1; D2; D4,Direct,Supporting,The Tennessee expectation is mapped to the closest NGSS performance expectation; grade-band or emphasis differences are disclosed in the source locator.,5.ESS1.3 day and shadow patterns,8.ESS1 seasonal system modeling,Season-and-latitude model supported by daylight data,TN Science 2022 PDF p.47; NGSS MS-ESS1,Draft—Head of School Review,Head of School,8
FF.G5.SCI.17,5,Grades 4–5,Science,Earth Science—Constellations,Track seasonal constellation patterns,Use tools to describe constellation positions and explain their apparent seasonal movement from Earth’s perspective.,I can use tools to describe constellation positions and explain their apparent seasonal movement from Earth’s perspective.,What evidence or model can explain track seasonal constellation patterns?,Essential,5.ESS1.6,Not Applicable,5-ESS1-2,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee expectation is mapped to the closest NGSS performance expectation; grade-band or emphasis differences are disclosed in the source locator.,Grade 4 observation and pattern analysis,8.ESS1 models of apparent celestial motion,Seasonal sky map or digital observation log,TN Science 2022 PDF p.47; NGSS 5-ESS1,Draft—Head of School Review,Head of School,8
FF.G5.SCI.18,5,Grades 4–5,Science,Engineering Design,Test and improve prototypes,"Plan and carry out controlled tests of prototype elements, identify failure points, and use results to improve the design.","I can plan and carry out controlled tests of prototype elements, identify failure points, and use results to improve the design.",What evidence or model can explain test and improve prototypes?,Essential,5.ETS1.1,Not Applicable,3-5-ETS1-3,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee expectation is mapped to the closest NGSS performance expectation; grade-band or emphasis differences are disclosed in the source locator.,"Grade 4 criteria, constraints, and solution comparison",6.ETS1 design solutions for biodiversity and thermal transfer,"Prototype test plan, data record, redesign, and rationale",TN Science 2022 PDF p.47; NGSS 3-5-ETS1,Draft—Head of School Review,Head of School,8
FF.G5.SCI.19,5,Grades 4–5,Science,Technology & Measurement,Use tools to answer testable questions,Select and use appropriate tools to make measurements and answer testable questions.,I can select and use appropriate tools to make measurements and answer testable questions.,What evidence or model can explain use tools to answer testable questions?,Essential,5.ETS2.1,Not Applicable,3-5-ETS1-3,B1; B2; C2; D1; D2; D4,Direct,Supporting,The Tennessee expectation is mapped to the closest NGSS performance expectation; grade-band or emphasis differences are disclosed in the source locator.,"Grade 4 technology benefits, risks, and needs",6.ETS1 controlled testing and design evaluation,Measurement-tool comparison embedded in an investigation,TN Science 2022 PDF p.48; NGSS 3-5-ETS1,Draft—Head of School Review,Head of School,8
FF.G6.SCI.01,6,Grades 6–8,Science,Physical Science—Energy,Track energy conservation and transfer,"Analyze energy sources in a system and use evidence that energy is conserved during transfers among kinetic, potential, chemical, and thermal forms.","I can analyze energy sources in a system and use evidence that energy is conserved during transfers among kinetic, potential, chemical, and thermal forms.",What evidence or model can explain track energy conservation and transfer?,Essential,6.PS3.1,Not Applicable,MS-PS3-5,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee expectation is mapped to the closest NGSS performance expectation; grade-band or emphasis differences are disclosed in the source locator.,"Grade 5 forces, motion, and matter",7.PS3 thermal energy and chemical processes,Energy-accounting model with evidence from a system,TN Science 2022 PDF p.51; NGSS MS-PS3,Draft—Head of School Review,Head of School,8
FF.G6.SCI.02,6,Grades 6–8,Science,Physical Science—Energy,Model sound and thermal energy transfer,"Use a model to show how sound or thermal energy transfer by conduction, convection, or radiation can change a system.","I can use a model to show how sound or thermal energy transfer by conduction, convection, or radiation can change a system.",What evidence or model can explain model sound and thermal energy transfer?,Essential,6.PS3.2,Not Applicable,MS-PS3-4,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee expectation is mapped to the closest NGSS performance expectation; grade-band or emphasis differences are disclosed in the source locator.,Grade 5 force-driven patterns and measurement,7.PS3 quantitative energy transfer,Comparative energy-transfer model and explanation,TN Science 2022 PDF p.51; NGSS MS-PS3,Draft—Head of School Review,Head of School,8
FF.G6.SCI.03,6,Grades 6–8,Science,Life Science—Ecosystems,Evaluate resource effects on populations,Use data to evaluate and communicate how living and nonliving environmental variables affect population size.,I can use data to evaluate and communicate how living and nonliving environmental variables affect population size.,What evidence or model can explain evaluate resource effects on populations?,Essential,6.LS2.1,Not Applicable,MS-LS2-1,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee expectation is mapped to the closest NGSS performance expectation; grade-band or emphasis differences are disclosed in the source locator.,Grade 5 organism traits and survival,7.LS2 matter cycling and 8.LS4 population change,Population-data analysis with cause-and-effect claim,TN Science 2022 PDF p.51; NGSS MS-LS2,Draft—Head of School Review,Head of School,8
