Grade 6 Forge Standards Framework,,,,,,,,,,,,,,,,,,,,,,,
"Competency-sized outcomes with explicit source alignment, evidence expectations, and vertical progression. Filterable working draft.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Forge Standard ID,Grade,Grade Band,Subject,Domain / Strand,Forge Standard,Description,Learning Target — I Can,Essential Question,Priority,Tennessee Standard(s),Common Core,NGSS,NSQ Online Course,TN Alignment,National Alignment,Alignment Rationale,Prerequisite Anchor,Next / Acceleration Anchor,Suggested Evidence / Performance Task,Source Document / Page,Review Status,Final Approver,Crosswalk Links
FF.G6.ELA.11,6,Grades 6–8,English Language Arts,Literature,Compare representations and related texts,"Compare the experience of reading a text with audio, video, or live versions and compare texts in different forms or genres.","I can compare the experience of reading a text with audio, video, or live versions and compare texts in different forms or genres.","How does compare representations and related texts help a reader, writer, speaker, or researcher communicate meaning?",Supporting,6.RL.IKI.7; 6.RL.IKI.9,CCSS.ELA-LITERACY.RL.6.7; CCSS.ELA-LITERACY.RL.6.9,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 6 expectations are directly aligned for compare representations and related texts.,Grade 5 multimedia contribution and same-genre comparison,Grade 7 comparison of fictional and historical accounts,Comparative analysis of written and performed texts,"TN ELA PDF pp.36, 39; CCSS ELA Grade 6 RL",Draft—Head of School Review,Head of School,10
FF.G6.ELA.12,6,Grades 6–8,English Language Arts,Informational Text,"Analyze evidence, central ideas, and development","Cite evidence, determine a central idea and how details convey it, summarize objectively, and analyze how a key person, event, or idea develops.","I can cite evidence, determine a central idea and how details convey it, summarize objectively, and analyze how a key person, event, or idea develops.","How does analyze evidence, central ideas, and development help a reader, writer, speaker, or researcher communicate meaning?",Essential,6.RI.KID.1; 6.RI.KID.2; 6.RI.KID.3,CCSS.ELA-LITERACY.RI.6.1; CCSS.ELA-LITERACY.RI.6.2; CCSS.ELA-LITERACY.RI.6.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,"Tennessee and Common Core Grade 6 expectations are directly aligned for analyze evidence, central ideas, and development.","Grade 5 quotation, multiple central ideas, and relationships",Grade 7 several pieces of evidence and interactions among ideas,"Annotated article, development map, and objective summary",TN ELA PDF pp.29–31; CCSS ELA Grade 6 RI,Draft—Head of School Review,Head of School,12
FF.G6.ELA.13,6,Grades 6–8,English Language Arts,Informational Text,"Analyze informational craft, structure, and purpose","Determine technical and connotative meanings, analyze how parts contribute to the whole, and determine how an author conveys point of view or purpose.","I can determine technical and connotative meanings, analyze how parts contribute to the whole, and determine how an author conveys point of view or purpose.","How does analyze informational craft, structure, and purpose help a reader, writer, speaker, or researcher communicate meaning?",Essential,6.RI.CS.4; 6.RI.CS.5; 6.RI.CS.6,CCSS.ELA-LITERACY.RI.6.4; CCSS.ELA-LITERACY.RI.6.5; CCSS.ELA-LITERACY.RI.6.6,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,"Tennessee and Common Core Grade 6 expectations are directly aligned for analyze informational craft, structure, and purpose.","Grade 5 technical vocabulary, structures, and account comparison",Grade 7 structural and rhetorical analysis,Structure-and-purpose analysis of a complex informational text,TN ELA PDF pp.33–35; CCSS ELA Grade 6 RI,Draft—Head of School Review,Head of School,12
FF.G6.ELA.14,6,Grades 6–8,English Language Arts,Informational Text,"Integrate media, evaluate arguments, and compare sources","Integrate information across media, trace and evaluate arguments and claims, and compare authors’ presentations of the same events or ideas.","I can integrate information across media, trace and evaluate arguments and claims, and compare authors’ presentations of the same events or ideas.","How does integrate media, evaluate arguments, and compare sources help a reader, writer, speaker, or researcher communicate meaning?",Essential,6.RI.IKI.7; 6.RI.IKI.8; 6.RI.IKI.9,CCSS.ELA-LITERACY.RI.6.7; CCSS.ELA-LITERACY.RI.6.8; CCSS.ELA-LITERACY.RI.6.9,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,"Tennessee and Common Core Grade 6 expectations are directly aligned for integrate media, evaluate arguments, and compare sources.",Grade 5 source integration and reasons-and-evidence analysis,Grade 7 multimedia evidence and argument quality,Multi-source analysis with claim-evidence evaluation,"TN ELA PDF pp.36, 38–39; CCSS ELA Grade 6 RI",Draft—Head of School Review,Head of School,12
FF.G6.ELA.15,6,Grades 6–8,English Language Arts,Reading Range,Read and comprehend Grade 6 literature and information,Independently and proficiently comprehend an appropriate range of Grade 6 literary and informational texts.,I can independently and proficiently comprehend an appropriate range of Grade 6 literary and informational texts.,"How does read and comprehend grade 6 literature and information help a reader, writer, speaker, or researcher communicate meaning?",Essential,6.RL.RRTC.10; 6.RI.RRTC.10,CCSS.ELA-LITERACY.RL.6.10; CCSS.ELA-LITERACY.RI.6.10,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 6 expectations are directly aligned for read and comprehend grade 6 literature and information.,Grade 5 text complexity and independence,Grade 7 text complexity and sustained analysis,Reading portfolio with conferences across genres,TN ELA PDF p.42; CCSS ELA Grade 6 RL/RI,Draft—Head of School Review,Head of School,10
FF.G6.ELA.16,6,Grades 6–8,English Language Arts,Speaking and Listening,Collaborate and interpret spoken and multimedia information,"Prepare for collaborative discussions, follow norms, build on ideas, and interpret information presented in diverse media and formats.","I can prepare for collaborative discussions, follow norms, build on ideas, and interpret information presented in diverse media and formats.","How does collaborate and interpret spoken and multimedia information help a reader, writer, speaker, or researcher communicate meaning?",Essential,6.SL.CC.1; 6.SL.CC.2,CCSS.ELA-LITERACY.SL.6.1; CCSS.ELA-LITERACY.SL.6.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 6 expectations are directly aligned for collaborate and interpret spoken and multimedia information.,Grade 5 prepared collaboration and multimedia summary,Grade 7 evidence-based discussion and multimedia analysis,Recorded seminar with preparation notes and synthesis,TN ELA PDF pp.45–47; CCSS ELA Grade 6 SL,Draft—Head of School Review,Head of School,10
FF.G6.ELA.17,6,Grades 6–8,English Language Arts,Speaking and Listening,Evaluate arguments and present claims,"Explain a speaker’s argument and claims, present findings in logical sequence, use multimedia purposefully, and adapt speech to context.","I can explain a speaker’s argument and claims, present findings in logical sequence, use multimedia purposefully, and adapt speech to context.","How does evaluate arguments and present claims help a reader, writer, speaker, or researcher communicate meaning?",Essential,6.SL.CC.3; 6.SL.PKI.4; 6.SL.PKI.5; 6.SL.PKI.6,CCSS.ELA-LITERACY.SL.6.3; CCSS.ELA-LITERACY.SL.6.4; CCSS.ELA-LITERACY.SL.6.5; CCSS.ELA-LITERACY.SL.6.6,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 6 expectations are directly aligned for evaluate arguments and present claims.,Grade 5 speaker evidence and organized presentation,Grade 7 reasoning evaluation and formal presentation,Evidence-rich presentation plus evaluation of a peer argument,TN ELA PDF pp.48–51; CCSS ELA Grade 6 SL,Draft—Head of School Review,Head of School,14
FF.G6.ELA.18,6,Grades 6–8,English Language Arts,Writing,Write evidence-based arguments,"Write arguments with clear claims, relevant evidence, logical organization, credible sources, formal style, and a conclusion.","I can write arguments with clear claims, relevant evidence, logical organization, credible sources, formal style, and a conclusion.","How does write evidence-based arguments help a reader, writer, speaker, or researcher communicate meaning?",Essential,6.W.TTP.1,CCSS.ELA-LITERACY.W.6.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 6 expectations are directly aligned for write evidence-based arguments.,Grade 5 opinion writing with reasons and facts,Grade 7 arguments with alternate or opposing claims,Published argument with source-based evidence,TN ELA PDF pp.55–57; CCSS ELA Grade 6 W,Draft—Head of School Review,Head of School,8
FF.G6.ELA.19,6,Grades 6–8,English Language Arts,Writing,Write informative explanations,"Examine a topic using organized relevant content, facts, definitions, quotations, examples, transitions, precise language, formal style, and a conclusion.","I can examine a topic using organized relevant content, facts, definitions, quotations, examples, transitions, precise language, formal style, and a conclusion.","How does write informative explanations help a reader, writer, speaker, or researcher communicate meaning?",Essential,6.W.TTP.2,CCSS.ELA-LITERACY.W.6.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 6 expectations are directly aligned for write informative explanations.,Grade 5 informative development and formatting,Grade 7 informative analysis with stronger cohesion,Multimodal explanatory article with cited sources,TN ELA PDF pp.58–60; CCSS ELA Grade 6 W,Draft—Head of School Review,Head of School,8
FF.G6.ELA.20,6,Grades 6–8,English Language Arts,Writing,Craft effective narratives,"Develop real or imagined experiences using context, sequence, pacing, dialogue, description, precise language, and a reflective conclusion.","I can develop real or imagined experiences using context, sequence, pacing, dialogue, description, precise language, and a reflective conclusion.","How does craft effective narratives help a reader, writer, speaker, or researcher communicate meaning?",Essential,6.W.TTP.3,CCSS.ELA-LITERACY.W.6.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 6 expectations are directly aligned for craft effective narratives.,"Grade 5 narrative pacing, description, and dialogue",Grade 7 purposeful narrative technique and structure,Narrative portfolio piece with author’s craft reflection,TN ELA PDF pp.61–62; CCSS ELA Grade 6 W,Draft—Head of School Review,Head of School,8
FF.G6.ELA.21,6,Grades 6–8,English Language Arts,Writing Process,"Plan, revise, edit, and publish coherent writing","Produce writing appropriate to task, purpose, and audience, then strengthen it through planning, feedback, revision, editing, and digital production.","I can produce writing appropriate to task, purpose, and audience, then strengthen it through planning, feedback, revision, editing, and digital production.","How does plan, revise, edit, and publish coherent writing help a reader, writer, speaker, or researcher communicate meaning?",Essential,6.W.PDW.4; 6.W.PDW.5,CCSS.ELA-LITERACY.W.6.4; CCSS.ELA-LITERACY.W.6.5; CCSS.ELA-LITERACY.W.6.6,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,"Tennessee and Common Core Grade 6 expectations are directly aligned for plan, revise, edit, and publish coherent writing.",Grade 5 increasingly independent writing process,Grade 7 sustained digital production and revision,Before-and-after writing samples with revision memo,TN ELA PDF pp.63–65; CCSS ELA Grade 6 W,Draft—Head of School Review,Head of School,11
FF.G6.ELA.22,6,Grades 6–8,English Language Arts,Research,"Research, evaluate sources, and integrate evidence","Conduct research using multiple sources, integrate relevant and credible information, cite sources, and support analysis and reflection with textual evidence.","I can conduct research using multiple sources, integrate relevant and credible information, cite sources, and support analysis and reflection with textual evidence.","How does research, evaluate sources, and integrate evidence help a reader, writer, speaker, or researcher communicate meaning?",Essential,6.W.RBPK.7; 6.W.RBPK.8; 6.W.RBPK.9,CCSS.ELA-LITERACY.W.6.7; CCSS.ELA-LITERACY.W.6.8; CCSS.ELA-LITERACY.W.6.9,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,"Tennessee and Common Core Grade 6 expectations are directly aligned for research, evaluate sources, and integrate evidence.",Grade 5 multi-source short research,Grade 7 inquiry refined by further questions,"Inquiry project with source evaluation, notes, citations, and product",TN ELA PDF pp.66–68; CCSS ELA Grade 6 W,Draft—Head of School Review,Head of School,12
FF.G6.ELA.23,6,Grades 6–8,English Language Arts,Writing Range,Write routinely for varied purposes and time frames,"Build writing fluency through sustained and shorter writing for discipline-specific tasks, purposes, and audiences.","I can build writing fluency through sustained and shorter writing for discipline-specific tasks, purposes, and audiences.","How does write routinely for varied purposes and time frames help a reader, writer, speaker, or researcher communicate meaning?",Supporting,6.W.RW.10,CCSS.ELA-LITERACY.W.6.10,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 6 expectations are directly aligned for write routinely for varied purposes and time frames.,Grade 5 routine writing,Grade 7 sustained analytical and explanatory writing,Curated writing portfolio showing range and growth,TN ELA PDF p.69; CCSS ELA Grade 6 W,Draft—Head of School Review,Head of School,8
FF.G6.MATH.01,6,Grades 6–8,Mathematics,Ratios & Proportional Relationships,Interpret ratios,"Understand ratios, distinguish ratios from fractions, and use ratio language to describe relationships between quantities.","I can understand ratios, distinguish ratios from fractions, and use ratio language to describe relationships between quantities.",How can interpret ratios be used accurately to solve and explain a meaningful problem?,Essential,6.RP.A.1,CCSS.MATH.CONTENT.6.RP.A.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,Grade 5 fraction multiplication and scaling,7.RP.A.1–2 proportional relationships,Ratio representation and context explanation,TN Math 2021 PDF p.65,Draft—Head of School Review,Head of School,8
FF.G6.MATH.02,6,Grades 6–8,Mathematics,Ratios & Proportional Relationships,Interpret unit rates,Understand unit rate as a ratio with a nonzero second quantity and use rate language in context.,I can understand unit rate as a ratio with a nonzero second quantity and use rate language in context.,How can interpret unit rates be used accurately to solve and explain a meaningful problem?,Essential,6.RP.A.2,CCSS.MATH.CONTENT.6.RP.A.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,Grade 5 fraction interpretation and measurement,7.RP.A.1 unit rates with complex fractions,Unit-rate comparison with units and written interpretation,TN Math 2021 PDF p.65,Draft—Head of School Review,Head of School,8
FF.G6.MATH.03,6,Grades 6–8,Mathematics,Ratios & Proportional Relationships,"Solve ratio, rate, percent, and conversion problems","Use equivalent-ratio tables, diagrams, graphs, equations, unit rates, percents, and unit conversions to solve problems.","I can use equivalent-ratio tables, diagrams, graphs, equations, unit rates, percents, and unit conversions to solve problems.","How can solve ratio, rate, percent, and conversion problems be used accurately to solve and explain a meaningful problem?",Essential,6.RP.A.3,CCSS.MATH.CONTENT.6.RP.A.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,"Grade 5 patterns, fractions, and measurement conversions",7.RP.A.2–3 proportional and percent problems,"Authentic pricing, speed, percent, or conversion investigation",TN Math 2021 PDF p.65,Draft—Head of School Review,Head of School,8
FF.G6.MATH.04,6,Grades 6–8,Mathematics,The Number System,Divide fractions by fractions,"Interpret and compute quotients of fractions and solve real-world problems using models, equations, and multiplication-division relationships.","I can interpret and compute quotients of fractions and solve real-world problems using models, equations, and multiplication-division relationships.",How can divide fractions by fractions be used accurately to solve and explain a meaningful problem?,Essential,6.NS.A.1,CCSS.MATH.CONTENT.6.NS.A.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,5.NF.B.7 unit-fraction division,7.NS.A.2 rational-number multiplication and division,"Fraction-division model, story context, computation, and explanation",TN Math 2021 PDF p.65,Draft—Head of School Review,Head of School,8
FF.G6.MATH.05,6,Grades 6–8,Mathematics,The Number System,Divide multi-digit numbers fluently,Fluently divide multi-digit whole numbers using a standard algorithm.,I can fluently divide multi-digit whole numbers using a standard algorithm.,How can divide multi-digit numbers fluently be used accurately to solve and explain a meaningful problem?,Essential,6.NS.B.2,CCSS.MATH.CONTENT.6.NS.B.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,5.NBT.B.6 multi-digit division strategies,7.NS rational-number operations,Fluency sample with estimation and error analysis,TN Math 2021 PDF p.66,Draft—Head of School Review,Head of School,8
FF.G6.MATH.06,6,Grades 6–8,Mathematics,The Number System,Operate with multi-digit decimals fluently,"Fluently add, subtract, multiply, and divide multi-digit decimals using standard algorithms connected to conceptual models.","I can fluently add, subtract, multiply, and divide multi-digit decimals using standard algorithms connected to conceptual models.",How can operate with multi-digit decimals fluently be used accurately to solve and explain a meaningful problem?,Essential,6.NS.B.3,CCSS.MATH.CONTENT.6.NS.B.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,5.NBT.B.7 decimal operations,7.NS.A rational-number operations,Decimal computation set with model and reasonableness check,TN Math 2021 PDF p.66,Draft—Head of School Review,Head of School,8
FF.G6.MATH.07,6,Grades 6–8,Mathematics,The Number System,"Use factors, multiples, and the distributive property",Find greatest common factors and least common multiples and use the distributive property to rewrite sums with common factors.,I can find greatest common factors and least common multiples and use the distributive property to rewrite sums with common factors.,"How can use factors, multiples, and the distributive property be used accurately to solve and explain a meaningful problem?",Essential,6.NS.B.4,CCSS.MATH.CONTENT.6.NS.B.4,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,Grade 4 factors and multiples,7.EE.A.1–2 equivalent expressions,Factor-and-multiple investigation with equivalent-expression explanation,TN Math 2021 PDF p.66,Draft—Head of School Review,Head of School,8
FF.G6.MATH.08,6,Grades 6–8,Mathematics,The Number System,Represent positive and negative quantities,Use positive and negative numbers to represent opposite quantities in context and explain the meaning of zero.,I can use positive and negative numbers to represent opposite quantities in context and explain the meaning of zero.,How can represent positive and negative quantities be used accurately to solve and explain a meaningful problem?,Essential,6.NS.C.5,CCSS.MATH.CONTENT.6.NS.C.5,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,Grade 5 whole-number and decimal number lines,7.NS.A.1 rational-number addition and subtraction,"Context model for temperature, elevation, charge, or finance",TN Math 2021 PDF p.66,Draft—Head of School Review,Head of School,8
FF.G6.MATH.09,6,Grades 6–8,Mathematics,The Number System,Plot rational numbers on number lines and coordinate planes,"Represent rational numbers, opposites, and ordered pairs on number lines and in all four quadrants.","I can represent rational numbers, opposites, and ordered pairs on number lines and in all four quadrants.",How can plot rational numbers on number lines and coordinate planes be used accurately to solve and explain a meaningful problem?,Essential,6.NS.C.6,CCSS.MATH.CONTENT.6.NS.C.6,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,5.G.A.1–2 first-quadrant coordinates,7.NS rational-number operations and graphs,Four-quadrant coordinate model with reflection explanation,TN Math 2021 PDF p.66,Draft—Head of School Review,Head of School,8
FF.G6.MATH.10,6,Grades 6–8,Mathematics,The Number System,Order rational numbers and interpret absolute value,Compare and order rational numbers and interpret absolute value as distance from zero in real-world contexts.,I can compare and order rational numbers and interpret absolute value as distance from zero in real-world contexts.,How can order rational numbers and interpret absolute value be used accurately to solve and explain a meaningful problem?,Essential,6.NS.C.7,CCSS.MATH.CONTENT.6.NS.C.7,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,Grade 5 decimal comparison,7.NS.A.1–3 rational-number operations,Number-line comparison and absolute-value context analysis,TN Math 2021 PDF p.66,Draft—Head of School Review,Head of School,8
FF.G6.MATH.11,6,Grades 6–8,Mathematics,The Number System,Solve four-quadrant coordinate problems,Graph points in all four quadrants and use coordinates and absolute value to find horizontal or vertical distances.,I can graph points in all four quadrants and use coordinates and absolute value to find horizontal or vertical distances.,How can solve four-quadrant coordinate problems be used accurately to solve and explain a meaningful problem?,Essential,6.NS.C.8,CCSS.MATH.CONTENT.6.NS.C.8,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,5.G.A.2 coordinate problems in the first quadrant,7.G.A scale drawings and coordinate geometry,Coordinate map problem with distance justification,TN Math 2021 PDF p.67,Draft—Head of School Review,Head of School,8
