Source Crosswalk (Grades 4–6),,,,,,
Many-to-many audit trail. Each row records one relationship between a Forge competency and an external standard.,,,,,,
,,,,,,
Forge Standard ID,Subject,Framework,External Standard Code,Alignment Strength,Alignment Rationale,Source / Locator
FF.G4.ELA.02,English Language Arts,NSQ Online Courses (2025),D2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.02,English Language Arts,NSQ Online Courses (2025),D4,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.03,English Language Arts,Tennessee Academic Standards,4.FL.SC.6,Direct,TN embeds conventions within the language standard; CCSS separates conventions as L.4.2.,TN ELA PDF pp.14–15; CCSS ELA Grade 4 L
FF.G4.ELA.03,English Language Arts,Common Core State Standards,CCSS.ELA-LITERACY.L.4.2,Direct,TN embeds conventions within the language standard; CCSS separates conventions as L.4.2.,TN ELA PDF pp.14–15; CCSS ELA Grade 4 L
FF.G4.ELA.03,English Language Arts,NSQ Online Courses (2025),B1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.03,English Language Arts,NSQ Online Courses (2025),B2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.03,English Language Arts,NSQ Online Courses (2025),C2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.03,English Language Arts,NSQ Online Courses (2025),D1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.03,English Language Arts,NSQ Online Courses (2025),D2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.03,English Language Arts,NSQ Online Courses (2025),D4,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.04,English Language Arts,Tennessee Academic Standards,4.FL.VA.7a,Direct,"The frameworks share context, morphology, and reference-tool strategies.",TN ELA PDF p.16; CCSS ELA Grade 4 L
FF.G4.ELA.04,English Language Arts,Common Core State Standards,CCSS.ELA-LITERACY.L.4.4,Direct,"The frameworks share context, morphology, and reference-tool strategies.",TN ELA PDF p.16; CCSS ELA Grade 4 L
FF.G4.ELA.04,English Language Arts,NSQ Online Courses (2025),B1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.04,English Language Arts,NSQ Online Courses (2025),B2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.04,English Language Arts,NSQ Online Courses (2025),C2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.04,English Language Arts,NSQ Online Courses (2025),D1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.04,English Language Arts,NSQ Online Courses (2025),D2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.04,English Language Arts,NSQ Online Courses (2025),D4,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.05,English Language Arts,Tennessee Academic Standards,4.FL.VA.7b,Direct,"Both standards address figurative language, relationships, and nuances in meaning.",TN ELA PDF p.16; CCSS ELA Grade 4 L
FF.G4.ELA.05,English Language Arts,Common Core State Standards,CCSS.ELA-LITERACY.L.4.5,Direct,"Both standards address figurative language, relationships, and nuances in meaning.",TN ELA PDF p.16; CCSS ELA Grade 4 L
FF.G4.ELA.05,English Language Arts,NSQ Online Courses (2025),B1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.05,English Language Arts,NSQ Online Courses (2025),B2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.05,English Language Arts,NSQ Online Courses (2025),C2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.05,English Language Arts,NSQ Online Courses (2025),D1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.05,English Language Arts,NSQ Online Courses (2025),D2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.05,English Language Arts,NSQ Online Courses (2025),D4,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.06,English Language Arts,Tennessee Academic Standards,4.FL.VA.7c,Direct,Both frameworks require accurate acquisition and use of general academic and domain vocabulary.,TN ELA PDF p.16; CCSS ELA Grade 4 L
FF.G4.ELA.06,English Language Arts,Common Core State Standards,CCSS.ELA-LITERACY.L.4.6,Direct,Both frameworks require accurate acquisition and use of general academic and domain vocabulary.,TN ELA PDF p.16; CCSS ELA Grade 4 L
FF.G4.ELA.06,English Language Arts,NSQ Online Courses (2025),B1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.06,English Language Arts,NSQ Online Courses (2025),B2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.06,English Language Arts,NSQ Online Courses (2025),C2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.06,English Language Arts,NSQ Online Courses (2025),D1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.06,English Language Arts,NSQ Online Courses (2025),D2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.06,English Language Arts,NSQ Online Courses (2025),D4,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.07,English Language Arts,Tennessee Academic Standards,4.RL.KID.1,Direct,The standards are substantively equivalent evidence-and-inference expectations.,TN ELA PDF p.29; CCSS ELA Grade 4 RL
FF.G4.ELA.07,English Language Arts,Common Core State Standards,CCSS.ELA-LITERACY.RL.4.1,Direct,The standards are substantively equivalent evidence-and-inference expectations.,TN ELA PDF p.29; CCSS ELA Grade 4 RL
FF.G4.ELA.07,English Language Arts,NSQ Online Courses (2025),B1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.07,English Language Arts,NSQ Online Courses (2025),B2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.07,English Language Arts,NSQ Online Courses (2025),C2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.07,English Language Arts,NSQ Online Courses (2025),D1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.07,English Language Arts,NSQ Online Courses (2025),D2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.07,English Language Arts,NSQ Online Courses (2025),D4,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.08,English Language Arts,Tennessee Academic Standards,4.RL.KID.2,Direct,Both require theme determination and summary grounded in details.,TN ELA PDF p.30; CCSS ELA Grade 4 RL
FF.G4.ELA.08,English Language Arts,Common Core State Standards,CCSS.ELA-LITERACY.RL.4.2,Direct,Both require theme determination and summary grounded in details.,TN ELA PDF p.30; CCSS ELA Grade 4 RL
FF.G4.ELA.08,English Language Arts,NSQ Online Courses (2025),B1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.08,English Language Arts,NSQ Online Courses (2025),B2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.08,English Language Arts,NSQ Online Courses (2025),C2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.08,English Language Arts,NSQ Online Courses (2025),D1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.08,English Language Arts,NSQ Online Courses (2025),D2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.08,English Language Arts,NSQ Online Courses (2025),D4,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.09,English Language Arts,Tennessee Academic Standards,4.RL.KID.3,Direct,Both focus on in-depth description using textual evidence.,TN ELA PDF p.31; CCSS ELA Grade 4 RL
FF.G4.ELA.09,English Language Arts,Common Core State Standards,CCSS.ELA-LITERACY.RL.4.3,Direct,Both focus on in-depth description using textual evidence.,TN ELA PDF p.31; CCSS ELA Grade 4 RL
FF.G4.ELA.09,English Language Arts,NSQ Online Courses (2025),B1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.09,English Language Arts,NSQ Online Courses (2025),B2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.09,English Language Arts,NSQ Online Courses (2025),C2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.09,English Language Arts,NSQ Online Courses (2025),D1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.09,English Language Arts,NSQ Online Courses (2025),D2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.09,English Language Arts,NSQ Online Courses (2025),D4,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.10,English Language Arts,Tennessee Academic Standards,4.RL.CS.4,Direct,"TN and CCSS align across vocabulary, structural form, and narrative point of view.",TN ELA PDF pp.33–35; CCSS ELA Grade 4 RL
FF.G4.ELA.10,English Language Arts,Tennessee Academic Standards,4.RL.CS.5,Direct,"TN and CCSS align across vocabulary, structural form, and narrative point of view.",TN ELA PDF pp.33–35; CCSS ELA Grade 4 RL
FF.G4.ELA.10,English Language Arts,Tennessee Academic Standards,4.RL.CS.6,Direct,"TN and CCSS align across vocabulary, structural form, and narrative point of view.",TN ELA PDF pp.33–35; CCSS ELA Grade 4 RL
FF.G4.ELA.10,English Language Arts,Common Core State Standards,CCSS.ELA-LITERACY.RL.4.4,Direct,"TN and CCSS align across vocabulary, structural form, and narrative point of view.",TN ELA PDF pp.33–35; CCSS ELA Grade 4 RL
FF.G4.ELA.10,English Language Arts,Common Core State Standards,CCSS.ELA-LITERACY.RL.4.5,Direct,"TN and CCSS align across vocabulary, structural form, and narrative point of view.",TN ELA PDF pp.33–35; CCSS ELA Grade 4 RL
FF.G4.ELA.10,English Language Arts,Common Core State Standards,CCSS.ELA-LITERACY.RL.4.6,Direct,"TN and CCSS align across vocabulary, structural form, and narrative point of view.",TN ELA PDF pp.33–35; CCSS ELA Grade 4 RL
FF.G4.ELA.10,English Language Arts,NSQ Online Courses (2025),B1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.10,English Language Arts,NSQ Online Courses (2025),B2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.10,English Language Arts,NSQ Online Courses (2025),C2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.10,English Language Arts,NSQ Online Courses (2025),D1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.10,English Language Arts,NSQ Online Courses (2025),D2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.10,English Language Arts,NSQ Online Courses (2025),D4,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.11,English Language Arts,Tennessee Academic Standards,4.RL.IKI.7,Direct,Both frameworks ask learners to integrate versions and compare related literary texts.,"TN ELA PDF pp.36,39; CCSS ELA Grade 4 RL"
FF.G4.ELA.11,English Language Arts,Tennessee Academic Standards,4.RL.IKI.9,Direct,Both frameworks ask learners to integrate versions and compare related literary texts.,"TN ELA PDF pp.36,39; CCSS ELA Grade 4 RL"
FF.G4.ELA.11,English Language Arts,Common Core State Standards,CCSS.ELA-LITERACY.RL.4.7,Direct,Both frameworks ask learners to integrate versions and compare related literary texts.,"TN ELA PDF pp.36,39; CCSS ELA Grade 4 RL"
FF.G4.ELA.11,English Language Arts,Common Core State Standards,CCSS.ELA-LITERACY.RL.4.9,Direct,Both frameworks ask learners to integrate versions and compare related literary texts.,"TN ELA PDF pp.36,39; CCSS ELA Grade 4 RL"
FF.G4.ELA.11,English Language Arts,NSQ Online Courses (2025),B1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.11,English Language Arts,NSQ Online Courses (2025),B2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.11,English Language Arts,NSQ Online Courses (2025),C2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.11,English Language Arts,NSQ Online Courses (2025),D1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.11,English Language Arts,NSQ Online Courses (2025),D2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.11,English Language Arts,NSQ Online Courses (2025),D4,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.12,English Language Arts,Tennessee Academic Standards,4.RI.KID.1,Direct,"TN and CCSS expectations align for evidence, main idea, summary, and explanatory relationships.",TN ELA PDF pp.29–31; CCSS ELA Grade 4 RI
FF.G4.ELA.12,English Language Arts,Tennessee Academic Standards,4.RI.KID.2,Direct,"TN and CCSS expectations align for evidence, main idea, summary, and explanatory relationships.",TN ELA PDF pp.29–31; CCSS ELA Grade 4 RI
FF.G4.ELA.12,English Language Arts,Tennessee Academic Standards,4.RI.KID.3,Direct,"TN and CCSS expectations align for evidence, main idea, summary, and explanatory relationships.",TN ELA PDF pp.29–31; CCSS ELA Grade 4 RI
FF.G4.ELA.12,English Language Arts,Common Core State Standards,CCSS.ELA-LITERACY.RI.4.1,Direct,"TN and CCSS expectations align for evidence, main idea, summary, and explanatory relationships.",TN ELA PDF pp.29–31; CCSS ELA Grade 4 RI
FF.G4.ELA.12,English Language Arts,Common Core State Standards,CCSS.ELA-LITERACY.RI.4.2,Direct,"TN and CCSS expectations align for evidence, main idea, summary, and explanatory relationships.",TN ELA PDF pp.29–31; CCSS ELA Grade 4 RI
FF.G4.ELA.12,English Language Arts,Common Core State Standards,CCSS.ELA-LITERACY.RI.4.3,Direct,"TN and CCSS expectations align for evidence, main idea, summary, and explanatory relationships.",TN ELA PDF pp.29–31; CCSS ELA Grade 4 RI
FF.G4.ELA.12,English Language Arts,NSQ Online Courses (2025),B1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.12,English Language Arts,NSQ Online Courses (2025),B2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.12,English Language Arts,NSQ Online Courses (2025),C2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.12,English Language Arts,NSQ Online Courses (2025),D1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.12,English Language Arts,NSQ Online Courses (2025),D2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.12,English Language Arts,NSQ Online Courses (2025),D4,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.13,English Language Arts,Tennessee Academic Standards,4.RI.CS.4,Direct,"The standards align on domain vocabulary, common structures, and comparison of accounts.",TN ELA PDF pp.33–35; CCSS ELA Grade 4 RI
FF.G4.ELA.13,English Language Arts,Tennessee Academic Standards,4.RI.CS.5,Direct,"The standards align on domain vocabulary, common structures, and comparison of accounts.",TN ELA PDF pp.33–35; CCSS ELA Grade 4 RI
FF.G4.ELA.13,English Language Arts,Tennessee Academic Standards,4.RI.CS.6,Direct,"The standards align on domain vocabulary, common structures, and comparison of accounts.",TN ELA PDF pp.33–35; CCSS ELA Grade 4 RI
FF.G4.ELA.13,English Language Arts,Common Core State Standards,CCSS.ELA-LITERACY.RI.4.4,Direct,"The standards align on domain vocabulary, common structures, and comparison of accounts.",TN ELA PDF pp.33–35; CCSS ELA Grade 4 RI
FF.G4.ELA.13,English Language Arts,Common Core State Standards,CCSS.ELA-LITERACY.RI.4.5,Direct,"The standards align on domain vocabulary, common structures, and comparison of accounts.",TN ELA PDF pp.33–35; CCSS ELA Grade 4 RI
FF.G4.ELA.13,English Language Arts,Common Core State Standards,CCSS.ELA-LITERACY.RI.4.6,Direct,"The standards align on domain vocabulary, common structures, and comparison of accounts.",TN ELA PDF pp.33–35; CCSS ELA Grade 4 RI
FF.G4.ELA.13,English Language Arts,NSQ Online Courses (2025),B1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.13,English Language Arts,NSQ Online Courses (2025),B2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.13,English Language Arts,NSQ Online Courses (2025),C2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.13,English Language Arts,NSQ Online Courses (2025),D1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.13,English Language Arts,NSQ Online Courses (2025),D2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.13,English Language Arts,NSQ Online Courses (2025),D4,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.14,English Language Arts,Tennessee Academic Standards,4.RI.IKI.7,Direct,"Both frameworks require multimodal interpretation, reasoning/evidence analysis, and source integration.","TN ELA PDF pp.36,38–39; CCSS ELA Grade 4 RI"
FF.G4.ELA.14,English Language Arts,Tennessee Academic Standards,4.RI.IKI.8,Direct,"Both frameworks require multimodal interpretation, reasoning/evidence analysis, and source integration.","TN ELA PDF pp.36,38–39; CCSS ELA Grade 4 RI"
FF.G4.ELA.14,English Language Arts,Tennessee Academic Standards,4.RI.IKI.9,Direct,"Both frameworks require multimodal interpretation, reasoning/evidence analysis, and source integration.","TN ELA PDF pp.36,38–39; CCSS ELA Grade 4 RI"
FF.G4.ELA.14,English Language Arts,Common Core State Standards,CCSS.ELA-LITERACY.RI.4.7,Direct,"Both frameworks require multimodal interpretation, reasoning/evidence analysis, and source integration.","TN ELA PDF pp.36,38–39; CCSS ELA Grade 4 RI"
FF.G4.ELA.14,English Language Arts,Common Core State Standards,CCSS.ELA-LITERACY.RI.4.8,Direct,"Both frameworks require multimodal interpretation, reasoning/evidence analysis, and source integration.","TN ELA PDF pp.36,38–39; CCSS ELA Grade 4 RI"
FF.G4.ELA.14,English Language Arts,Common Core State Standards,CCSS.ELA-LITERACY.RI.4.9,Direct,"Both frameworks require multimodal interpretation, reasoning/evidence analysis, and source integration.","TN ELA PDF pp.36,38–39; CCSS ELA Grade 4 RI"
FF.G4.ELA.14,English Language Arts,NSQ Online Courses (2025),B1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.14,English Language Arts,NSQ Online Courses (2025),B2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.14,English Language Arts,NSQ Online Courses (2025),C2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.14,English Language Arts,NSQ Online Courses (2025),D1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.14,English Language Arts,NSQ Online Courses (2025),D2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.14,English Language Arts,NSQ Online Courses (2025),D4,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
