Grade 5 Forge Standards Framework,,,,,,,,,,,,,,,,,,,,,,,
"Competency-sized outcomes with explicit source alignment, evidence expectations, and vertical progression. Filterable working draft.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Forge Standard ID,Grade,Grade Band,Subject,Domain / Strand,Forge Standard,Description,Learning Target — I Can,Essential Question,Priority,Tennessee Standard(s),Common Core,NGSS,NSQ Online Course,TN Alignment,National Alignment,Alignment Rationale,Prerequisite Anchor,Next / Acceleration Anchor,Suggested Evidence / Performance Task,Source Document / Page,Review Status,Final Approver,Crosswalk Links
FF.G5.ELA.11,5,Grades 4–5,English Language Arts,Literature,Integrate representations and compare texts,Analyze how visual or multimedia elements contribute to meaning and compare stories in the same genre.,I can analyze how visual or multimedia elements contribute to meaning and compare stories in the same genre.,"How does integrate representations and compare texts help a reader, writer, speaker, or researcher communicate meaning?",Supporting,5.RL.IKI.7; 5.RL.IKI.9,CCSS.ELA-LITERACY.RL.5.7; CCSS.ELA-LITERACY.RL.5.9,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 5 expectations are directly aligned for integrate representations and compare texts.,Grade 4 representation and theme comparison,"Grade 6 comparison across written, audio, video, live, and genre forms",Compare a literary text with a multimedia version and a same-genre text,"TN ELA PDF pp.36, 39; CCSS ELA Grade 5 RL",Draft—Head of School Review,Head of School,10
FF.G5.ELA.12,5,Grades 4–5,English Language Arts,Informational Text,"Explain evidence, central ideas, and relationships","Quote accurately, identify two or more central ideas, summarize, and explain relationships among people, events, ideas, or concepts.","I can quote accurately, identify two or more central ideas, summarize, and explain relationships among people, events, ideas, or concepts.","How does explain evidence, central ideas, and relationships help a reader, writer, speaker, or researcher communicate meaning?",Essential,5.RI.KID.1; 5.RI.KID.2; 5.RI.KID.3,CCSS.ELA-LITERACY.RI.5.1; CCSS.ELA-LITERACY.RI.5.2; CCSS.ELA-LITERACY.RI.5.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,"Tennessee and Common Core Grade 5 expectations are directly aligned for explain evidence, central ideas, and relationships.","Grade 4 evidence, main idea, and relationships","Grade 6 cited evidence, central idea development, and detailed analysis","Annotated article, evidence chart, and oral explanation",TN ELA PDF pp.29–31; CCSS ELA Grade 5 RI,Draft—Head of School Review,Head of School,12
FF.G5.ELA.13,5,Grades 4–5,English Language Arts,Informational Text,"Analyze informational craft, structure, and accounts","Determine technical and domain word meanings, compare organizational structures, and analyze similarities and differences in accounts.","I can determine technical and domain word meanings, compare organizational structures, and analyze similarities and differences in accounts.","How does analyze informational craft, structure, and accounts help a reader, writer, speaker, or researcher communicate meaning?",Essential,5.RI.CS.4; 5.RI.CS.5; 5.RI.CS.6,CCSS.ELA-LITERACY.RI.5.4; CCSS.ELA-LITERACY.RI.5.5; CCSS.ELA-LITERACY.RI.5.6,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,"Tennessee and Common Core Grade 5 expectations are directly aligned for analyze informational craft, structure, and accounts.","Grade 4 domain language, text structure, and accounts","Grade 6 word choice, structural contribution, and author purpose",Compare two accounts using a structure-and-viewpoint matrix,TN ELA PDF pp.33–35; CCSS ELA Grade 5 RI,Draft—Head of School Review,Head of School,12
FF.G5.ELA.14,5,Grades 4–5,English Language Arts,Informational Text,Integrate evidence across formats and sources,"Locate information efficiently, explain how reasons and evidence support points, and integrate information from several texts.","I can locate information efficiently, explain how reasons and evidence support points, and integrate information from several texts.","How does integrate evidence across formats and sources help a reader, writer, speaker, or researcher communicate meaning?",Essential,5.RI.IKI.7; 5.RI.IKI.8; 5.RI.IKI.9,CCSS.ELA-LITERACY.RI.5.7; CCSS.ELA-LITERACY.RI.5.8; CCSS.ELA-LITERACY.RI.5.9,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 5 expectations are directly aligned for integrate evidence across formats and sources.,Grade 4 visual evidence and two-source integration,"Grade 6 multimedia integration, argument evaluation, and source comparison",Multi-source explanatory brief with a chart or diagram,"TN ELA PDF pp.36, 38–39; CCSS ELA Grade 5 RI",Draft—Head of School Review,Head of School,12
FF.G5.ELA.15,5,Grades 4–5,English Language Arts,Reading Range,Read and comprehend Grade 5 literature and information,Independently and proficiently comprehend an appropriate range of Grade 5 literary and informational texts.,I can independently and proficiently comprehend an appropriate range of Grade 5 literary and informational texts.,"How does read and comprehend grade 5 literature and information help a reader, writer, speaker, or researcher communicate meaning?",Essential,5.RL.RRTC.10; 5.RI.RRTC.10,CCSS.ELA-LITERACY.RL.5.10; CCSS.ELA-LITERACY.RI.5.10,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 5 expectations are directly aligned for read and comprehend grade 5 literature and information.,Grade 4 text complexity and stamina,"Grade 6 text complexity, evidence, and independence",Reading portfolio with conferences across genres,TN ELA PDF p.42; CCSS ELA Grade 5 RL/RI,Draft—Head of School Review,Head of School,10
FF.G5.ELA.16,5,Grades 4–5,English Language Arts,Speaking and Listening,Collaborate and evaluate spoken information,"Prepare for discussions, follow agreed norms, build on others’ ideas, summarize information, and evaluate a speaker’s reasons and evidence.","I can prepare for discussions, follow agreed norms, build on others’ ideas, summarize information, and evaluate a speaker’s reasons and evidence.","How does collaborate and evaluate spoken information help a reader, writer, speaker, or researcher communicate meaning?",Essential,5.SL.CC.1; 5.SL.CC.2; 5.SL.CC.3,CCSS.ELA-LITERACY.SL.5.1; CCSS.ELA-LITERACY.SL.5.2; CCSS.ELA-LITERACY.SL.5.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 5 expectations are directly aligned for collaborate and evaluate spoken information.,Grade 4 prepared discussion and paraphrasing,Grade 6 discussion leadership and argument evaluation,Recorded seminar with self-reflection and evidence notes,TN ELA PDF pp.45–48; CCSS ELA Grade 5 SL,Draft—Head of School Review,Head of School,12
FF.G5.ELA.17,5,Grades 4–5,English Language Arts,Speaking and Listening,"Present clearly with evidence, media, and register","Present a topic, text, or opinion in logical sequence, use multimedia purposefully, and adapt speech to context.","I can present a topic, text, or opinion in logical sequence, use multimedia purposefully, and adapt speech to context.","How does present clearly with evidence, media, and register help a reader, writer, speaker, or researcher communicate meaning?",Essential,5.SL.PKI.4; 5.SL.PKI.5; 5.SL.PKI.6,CCSS.ELA-LITERACY.SL.5.4; CCSS.ELA-LITERACY.SL.5.5; CCSS.ELA-LITERACY.SL.5.6,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,"Tennessee and Common Core Grade 5 expectations are directly aligned for present clearly with evidence, media, and register.",Grade 4 organized presentation and purposeful media,"Grade 6 claims, findings, and formal register",Live or recorded presentation with evidence and purposeful visual support,TN ELA PDF pp.49–51; CCSS ELA Grade 5 SL,Draft—Head of School Review,Head of School,12
FF.G5.ELA.18,5,Grades 4–5,English Language Arts,Writing,Write evidence-based opinions,"Write a clear opinion supported by logically ordered reasons, facts, details, linking language, and a conclusion.","I can write a clear opinion supported by logically ordered reasons, facts, details, linking language, and a conclusion.","How does write evidence-based opinions help a reader, writer, speaker, or researcher communicate meaning?",Essential,5.W.TTP.1,CCSS.ELA-LITERACY.W.5.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 5 expectations are directly aligned for write evidence-based opinions.,Grade 4 opinion writing,Grade 6 argument writing with claims and relevant evidence,Published opinion piece with source-based evidence,TN ELA PDF pp.55–57; CCSS ELA Grade 5 W,Draft—Head of School Review,Head of School,8
FF.G5.ELA.19,5,Grades 4–5,English Language Arts,Writing,Write informative explanations,"Develop a topic with facts, definitions, quotations, examples, precise language, transitions, formatting, and a conclusion.","I can develop a topic with facts, definitions, quotations, examples, precise language, transitions, formatting, and a conclusion.","How does write informative explanations help a reader, writer, speaker, or researcher communicate meaning?",Essential,5.W.TTP.2,CCSS.ELA-LITERACY.W.5.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 5 expectations are directly aligned for write informative explanations.,Grade 4 informative writing,Grade 6 analysis and organization of relevant content,Multimodal explanatory article with cited sources,TN ELA PDF pp.58–60; CCSS ELA Grade 5 W,Draft—Head of School Review,Head of School,8
FF.G5.ELA.20,5,Grades 4–5,English Language Arts,Writing,Craft effective narratives,"Develop real or imagined experiences using effective technique, sequence, pacing, description, dialogue, transitions, and conclusion.","I can develop real or imagined experiences using effective technique, sequence, pacing, description, dialogue, transitions, and conclusion.","How does craft effective narratives help a reader, writer, speaker, or researcher communicate meaning?",Essential,5.W.TTP.3,CCSS.ELA-LITERACY.W.5.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 5 expectations are directly aligned for craft effective narratives.,Grade 4 narrative technique and sequence,"Grade 6 narrative context, pacing, and reflection",Narrative portfolio piece with author’s craft reflection,TN ELA PDF pp.61–62; CCSS ELA Grade 5 W,Draft—Head of School Review,Head of School,8
FF.G5.ELA.21,5,Grades 4–5,English Language Arts,Writing Process,"Plan, revise, edit, and publish coherent writing","Produce writing appropriate to task, purpose, and audience, then strengthen it through planning, feedback, revision, editing, and digital production.","I can produce writing appropriate to task, purpose, and audience, then strengthen it through planning, feedback, revision, editing, and digital production.","How does plan, revise, edit, and publish coherent writing help a reader, writer, speaker, or researcher communicate meaning?",Essential,5.W.PDW.4; 5.W.PDW.5,CCSS.ELA-LITERACY.W.5.4; CCSS.ELA-LITERACY.W.5.5; CCSS.ELA-LITERACY.W.5.6,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,"Tennessee and Common Core Grade 5 expectations are directly aligned for plan, revise, edit, and publish coherent writing.",Grade 4 guided writing process,Grade 6 sustained digital production and revision,Before-and-after writing samples with revision memo,TN ELA PDF pp.63–65; CCSS ELA Grade 5 W,Draft—Head of School Review,Head of School,11
FF.G5.ELA.22,5,Grades 4–5,English Language Arts,Research,"Research, evaluate sources, and use evidence","Conduct short research using multiple sources, gather and categorize information, take notes, cite sources, and draw evidence from texts.","I can conduct short research using multiple sources, gather and categorize information, take notes, cite sources, and draw evidence from texts.","How does research, evaluate sources, and use evidence help a reader, writer, speaker, or researcher communicate meaning?",Essential,5.W.RBPK.7; 5.W.RBPK.8; 5.W.RBPK.9,CCSS.ELA-LITERACY.W.5.7; CCSS.ELA-LITERACY.W.5.8; CCSS.ELA-LITERACY.W.5.9,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,"Tennessee and Common Core Grade 5 expectations are directly aligned for research, evaluate sources, and use evidence.",Grade 4 focused inquiry and source log,Grade 6 credible-source integration and sustained inquiry,"Inquiry project with source log, notes, citations, and product",TN ELA PDF pp.66–68; CCSS ELA Grade 5 W,Draft—Head of School Review,Head of School,12
FF.G5.ELA.23,5,Grades 4–5,English Language Arts,Writing Range,Write routinely for varied purposes and time frames,"Build writing fluency through sustained and shorter writing for multiple tasks, purposes, and audiences.","I can build writing fluency through sustained and shorter writing for multiple tasks, purposes, and audiences.","How does write routinely for varied purposes and time frames help a reader, writer, speaker, or researcher communicate meaning?",Supporting,5.W.RW.10,CCSS.ELA-LITERACY.W.5.10,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Tennessee and Common Core Grade 5 expectations are directly aligned for write routinely for varied purposes and time frames.,Grade 4 routine writing,Grade 6 sustained analytical and explanatory writing,Curated writing portfolio showing range and growth,TN ELA PDF p.69; CCSS ELA Grade 5 W,Draft—Head of School Review,Head of School,8
FF.G5.MATH.01,5,Grades 4–5,Mathematics,Operations & Algebraic Thinking,Evaluate numerical expressions,Use parentheses and brackets and the conventional order of operations to evaluate whole-number numerical expressions.,I can use parentheses and brackets and the conventional order of operations to evaluate whole-number numerical expressions.,How can evaluate numerical expressions be used accurately to solve and explain a meaningful problem?,Essential,5.OA.A.1,CCSS.MATH.CONTENT.5.OA.A.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,Grade 4 multistep equations,6.EE.A.1–2 expressions and exponents,Expression evaluation with annotated order-of-operations reasoning,TN Math 2021 PDF p.58,Draft—Head of School Review,Head of School,8
FF.G5.MATH.02,5,Grades 4–5,Mathematics,Operations & Algebraic Thinking,Write and interpret numerical expressions,Write numerical expressions that record calculations and interpret expressions without evaluating them.,I can write numerical expressions that record calculations and interpret expressions without evaluating them.,How can write and interpret numerical expressions be used accurately to solve and explain a meaningful problem?,Essential,5.OA.A.2,CCSS.MATH.CONTENT.5.OA.A.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,Grade 4 multistep problem representation,6.EE.A.2 variable expressions,Translate authentic situations into expressions and explain their structure,TN Math 2021 PDF p.58,Draft—Head of School Review,Head of School,8
FF.G5.MATH.03,5,Grades 4–5,Mathematics,Operations & Algebraic Thinking,Generate and compare numerical patterns,"Generate two patterns from given rules, identify relationships between corresponding terms, form ordered pairs, and graph them in the first quadrant.","I can generate two patterns from given rules, identify relationships between corresponding terms, form ordered pairs, and graph them in the first quadrant.",How can generate and compare numerical patterns be used accurately to solve and explain a meaningful problem?,Essential,5.OA.B.3,CCSS.MATH.CONTENT.5.OA.B.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,Grade 4 number and shape patterns,6.RP.A.3 ratio tables and coordinate graphs,"Dual-pattern table, graph, and relationship explanation",TN Math 2021 PDF p.58,Draft—Head of School Review,Head of School,8
FF.G5.MATH.04,5,Grades 4–5,Mathematics,Number & Operations—Base Ten,Explain place-value relationships,Explain that a digit represents ten times the value of the same digit one place to its right and one-tenth the value one place to its left.,I can explain that a digit represents ten times the value of the same digit one place to its right and one-tenth the value one place to its left.,How can explain place-value relationships be used accurately to solve and explain a meaningful problem?,Essential,5.NBT.A.1,CCSS.MATH.CONTENT.5.NBT.A.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,4.NBT.A.1 place-value comparison,6.NS rational-number structure,Place-value model and written explanation,TN Math 2021 PDF p.58,Draft—Head of School Review,Head of School,8
FF.G5.MATH.05,5,Grades 4–5,Mathematics,Number & Operations—Base Ten,Use powers of ten and decimal patterns,Explain zero and decimal-point patterns when multiplying or dividing by powers of ten and use whole-number exponents to represent powers of ten.,I can explain zero and decimal-point patterns when multiplying or dividing by powers of ten and use whole-number exponents to represent powers of ten.,How can use powers of ten and decimal patterns be used accurately to solve and explain a meaningful problem?,Essential,5.NBT.A.2,CCSS.MATH.CONTENT.5.NBT.A.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,Grade 4 multiplication patterns,6.EE.A.1 whole-number exponents,Power-of-ten pattern investigation with generalization,TN Math 2021 PDF p.58,Draft—Head of School Review,Head of School,8
FF.G5.MATH.06,5,Grades 4–5,Mathematics,Number & Operations—Base Ten,"Read, write, and compare decimals","Read and write decimals to thousandths in standard, word, and expanded forms and compare them using place-value reasoning.","I can read and write decimals to thousandths in standard, word, and expanded forms and compare them using place-value reasoning.","How can read, write, and compare decimals be used accurately to solve and explain a meaningful problem?",Essential,5.NBT.A.3,CCSS.MATH.CONTENT.5.NBT.A.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,4.NF.C.6–7 decimal notation and comparison,6.NS.C.7 rational-number order,Decimal representation and comparison task with justification,TN Math 2021 PDF p.58,Draft—Head of School Review,Head of School,8
FF.G5.MATH.07,5,Grades 4–5,Mathematics,Number & Operations—Base Ten,Round decimals using place value,"Round decimals to the nearest hundredth, tenth, or whole number and explain the result with a number line.","I can round decimals to the nearest hundredth, tenth, or whole number and explain the result with a number line.",How can round decimals using place value be used accurately to solve and explain a meaningful problem?,Essential,5.NBT.A.4,CCSS.MATH.CONTENT.5.NBT.A.4,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,4.NBT.A.3 whole-number rounding,6.NS.C.7 rational-number order and absolute value,Rounding explanation using number-line evidence,TN Math 2021 PDF p.58,Draft—Head of School Review,Head of School,8
FF.G5.MATH.08,5,Grades 4–5,Mathematics,Number & Operations—Base Ten,Multiply multi-digit whole numbers fluently,Fluently multiply whole numbers with factors up to three digits by four digits using efficient strategies and algorithms.,I can fluently multiply whole numbers with factors up to three digits by four digits using efficient strategies and algorithms.,How can multiply multi-digit whole numbers fluently be used accurately to solve and explain a meaningful problem?,Essential,5.NBT.B.5,CCSS.MATH.CONTENT.5.NBT.B.5,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,4.NBT.B.5 multi-digit multiplication,6.NS.B.2–3 standard algorithms,Multi-method computation set with efficiency reflection,TN Math 2021 PDF p.59,Draft—Head of School Review,Head of School,8
FF.G5.MATH.09,5,Grades 4–5,Mathematics,Number & Operations—Base Ten,Divide multi-digit whole numbers,Find quotients and remainders with up to four-digit dividends and two-digit divisors and explain the calculation using models and equations.,I can find quotients and remainders with up to four-digit dividends and two-digit divisors and explain the calculation using models and equations.,How can divide multi-digit whole numbers be used accurately to solve and explain a meaningful problem?,Essential,5.NBT.B.6,CCSS.MATH.CONTENT.5.NBT.B.6,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,4.NBT.B.6 division strategies,6.NS.B.2 fluent standard algorithm,"Division model, computation, and contextual remainder explanation",TN Math 2021 PDF p.59,Draft—Head of School Review,Head of School,8
FF.G5.MATH.10,5,Grades 4–5,Mathematics,Number & Operations—Base Ten,Operate with decimals to hundredths,"Add, subtract, multiply, and divide decimals to hundredths using models, place-value reasoning, and estimation to assess reasonableness.","I can add, subtract, multiply, and divide decimals to hundredths using models, place-value reasoning, and estimation to assess reasonableness.",How can operate with decimals to hundredths be used accurately to solve and explain a meaningful problem?,Essential,5.NBT.B.7,CCSS.MATH.CONTENT.5.NBT.B.7,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,Grade 4 decimal notation and whole-number operations,6.NS.B.3 fluent decimal operations,Authentic decimal problem set with models and estimation checks,TN Math 2021 PDF p.59,Draft—Head of School Review,Head of School,8
FF.G5.MATH.11,5,Grades 4–5,Mathematics,Fractions,Add and subtract fractions with unlike denominators,Use equivalent fractions to add and subtract fractions and mixed numbers with unlike denominators.,I can use equivalent fractions to add and subtract fractions and mixed numbers with unlike denominators.,How can add and subtract fractions with unlike denominators be used accurately to solve and explain a meaningful problem?,Essential,5.NF.A.1,CCSS.MATH.CONTENT.5.NF.A.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,4.NF.A.1–2 equivalence and comparison,6.NS.A.1 division of fractions,Fraction model and computation with equivalence justification,TN Math 2021 PDF p.59,Draft—Head of School Review,Head of School,8
